id_pedido,fecha,hora,distrito,categoria_restaurante,monto_soles,tiempo_entrega_min,calificacion
1518,2025-10-24,23,San Borja,Comida rápida,30.91,30.0,4.0
2370,2025-12-25,12,San Isidro,Postres,21.25,33.0,5.0
1962,2025-09-22,11,Surco,Criolla,21.24,30.0,
344,2025-08-07,9,La Molina,Criolla,35.12,40.0,4.0
2664,2026-02-19,12,Miraflores,Comida rápida,17.72,36.0,5.0
1174,2025-10-01,13,La Molina,Postres,18.07,46.0,2.0
2677,2026-01-16,20,San Borja,Saludable,55.49,51.0,4.0
1028,2025-06-04,12,Miraflores,Criolla,33.83,26.0,4.0
2084,2025-10-08,20,San Isidro,Postres,34.87,35.0,4.0
1445,2025-05-25,19,Miraflores,Comida rápida,33.93,30.0,4.0
933,2025-06-11,14,San Isidro,Pizza,63.7,26.0,5.0
179,2025-12-19,16,Surco,Criolla,39.67,26.0,
1594,2025-11-11,22,Surco,Comida rápida,30.14,34.0,4.0
1948,2026-03-30,20,Miraflores,Comida rápida,34.82,38.0,
1663,2025-07-21,14,Miraflores,Pizza,81.53,37.0,3.0
2432,2025-05-05,12,Surco,Criolla,62.09,48.0,3.0
2863,2025-05-07,20,Surco,Criolla,53.99,58.0,2.0
2343,2026-01-27,18,Miraflores,Comida rápida,27.29,29.0,3.0
1498,2026-01-02,11,San Isidro,Criolla,44.54,42.0,3.0
2967,2025-05-08,12,Surco,Criolla,50.49,39.0,3.0
2414,2026-02-12,19,Surco,Criolla,62.71,45.0,3.0
2808,2025-06-18,8,San Borja,Pizza,46.29,32.0,4.0
1284,2025-09-24,19,San Borja,Postres,16.89,,4.0
2869,2025-09-25,21,La Molina,Pizza,67.4,49.0,3.0
890,2026-04-30,12,Miraflores,Comida rápida,40.22,33.0,4.0
1460,2026-01-25,18,San Isidro,Criolla,49.02,30.0,4.0
652,2025-11-07,7,San Borja,Criolla,58.89,37.0,4.0
1437,2025-12-02,18,Miraflores,Pizza,23.74,30.0,5.0
555,2025-05-13,18,Miraflores,Comida rápida,22.22,31.0,5.0
2264,2025-06-11,12,San Borja,Pizza,57.33,33.0,5.0
440,2025-08-25,20,San Borja,Comida rápida,44.17,28.0,4.0
2568,2025-09-15,19,San Borja,Pizza,67.43,37.0,3.0
1042,2026-02-15,23,Miraflores,Comida rápida,28.74,24.0,5.0
1227,2025-05-19,12,Surco,Criolla,56.49,41.0,3.0
189,2025-10-19,18,San Isidro,Postres,22.48,46.0,2.0
